Adjusted for Inflation Flag,Format,Format (copy),Metric,Year,Year Date,Format Value # (Billion),Format Value # (Million),Number of Records,Value (Actual),Value (Actual) (copy),Year (copy)
,CD,CD,Units,1973,1973,,,1,,,1973
,CD,CD,Units,1974,1974,,,1,,,1974
,CD,CD,Units,1975,1975,,,1,,,1975
,CD,CD,Units,1976,1976,,,1,,,1976
,CD,CD,Units,1977,1977,,,1,,,1977
,CD,CD,Units,1978,1978,,,1,,,1978
,CD,CD,Units,1979,1979,,,1,,,1979
,CD,CD,Units,1980,1980,,,1,,,1980
,CD,CD,Units,1981,1981,,,1,,,1981
,CD,CD,Units,1982,1982,,,1,,,1982
,CD,CD,Units,1983,1983,,$0.8M,1,0.8,$1M,1983
,CD,CD,Units,1984,1984,,$5.8M,1,5.8,$6M,1984
,CD,CD,Units,1985,1985,,$22.6M,1,22.6,$23M,1985
,CD,CD,Units,1986,1986,,$53.0M,1,53,$53M,1986
,CD,CD,Units,1987,1987,,$102.1M,1,102.1,$102M,1987
,CD,CD,Units,1988,1988,,$149.7M,1,149.7,$150M,1988
,CD,CD,Units,1989,1989,,$207.2M,1,207.2,$207M,1989
,CD,CD,Units,1990,1990,,$286.5M,1,286.5,$287M,1990
,CD,CD,Units,1991,1991,,$333.3M,1,333.3,$333M,1991
,CD,CD,Units,1992,1992,,$407.5M,1,407.5,$408M,1992
,CD,CD,Units,1993,1993,,$495.4M,1,495.4,$495M,1993
,CD,CD,Units,1994,1994,,$662.1M,1,662.1,$662M,1994
,CD,CD,Units,1995,1995,,$722.9M,1,722.9,$723M,1995
,CD,CD,Units,1996,1996,,$778.9M,1,778.9,$779M,1996
,CD,CD,Units,1997,1997,,$753.1M,1,753.1,$753M,1997
,CD,CD,Units,1998,1998,,$847.0M,1,847,$847M,1998
,CD,CD,Units,1999,1999,,$938.9M,1,938.9,$939M,1999
,CD,CD,Units,2000,2000,,$942.5M,1,942.5,$943M,2000
,CD,CD,Units,2001,2001,,$881.9M,1,881.9,$882M,2001
,CD,CD,Units,2002,2002,,$803.3M,1,803.3,$803M,2002
,CD,CD,Units,2003,2003,,$746.0M,1,746,$746M,2003
,CD,CD,Units,2004,2004,,$767.0M,1,767,$767M,2004
,CD,CD,Units,2005,2005,,$705.4M,1,705.4,$705M,2005
,CD,CD,Units,2006,2006,,$619.7M,1,619.7,$620M,2006
,CD,CD,Units,2007,2007,,$499.7M,1,499.7,$500M,2007
,CD,CD,Units,2008,2008,,$368.4M,1,368.4,$368M,2008
,CD,CD,Units,2009,2009,,$296.6M,1,296.6,$297M,2009
,CD,CD,Units,2010,2010,,$253.0M,1,253,$253M,2010
,CD,CD,Units,2011,2011,,$240.8M,1,240.8,$241M,2011
,CD,CD,Units,2012,2012,,$198.2M,1,198.164387234,$198M,2012
,CD,CD,Units,2013,2013,,$173.8M,1,173.793302906,$174M,2013
,CD,CD,Units,2014,2014,,$138.7M,1,138.702363357,$139M,2014
,CD,CD,Units,2015,2015,,$117.1M,1,117.144051764,$117M,2015
,CD,CD,Units,2016,2016,,$97.6M,1,97.577071197,$98M,2016
,CD,CD,Units,2017,2017,,$87.7M,1,87.682499971,$88M,2017
,CD,CD,Units,2018,2018,,$52.0M,1,51.954275644,$52M,2018
,CD,CD,Units,2019,2019,,$46.5M,1,46.506495584,$47M,2019
,CD Single,CD Single,Units,1973,1973,,,1,,,1973
,CD Single,CD Single,Units,1974,1974,,,1,,,1974
,CD Single,CD Single,Units,1975,1975,,,1,,,1975
,CD Single,CD Single,Units,1976,1976,,,1,,,1976
,CD Single,CD Single,Units,1977,1977,,,1,,,1977
,CD Single,CD Single,Units,1978,1978,,,1,,,1978
,CD Single,CD Single,Units,1979,1979,,,1,,,1979
,CD Single,CD Single,Units,1980,1980,,,1,,,1980
,CD Single,CD Single,Units,1981,1981,,,1,,,1981
,CD Single,CD Single,Units,1982,1982,,,1,,,1982
,CD Single,CD Single,Units,1983,1983,,,1,,,1983
,CD Single,CD Single,Units,1984,1984,,,1,,,1984
,CD Single,CD Single,Units,1985,1985,,,1,,,1985
,CD Single,CD Single,Units,1986,1986,,,1,,,1986
,CD Single,CD Single,Units,1987,1987,,,1,,,1987
,CD Single,CD Single,Units,1988,1988,,$1.6M,1,1.6,$2M,1988
,CD Single,CD Single,Units,1989,1989,,-$0.1M,1,-0.1,$0M,1989
,CD Single,CD Single,Units,1990,1990,,$1.1M,1,1.1,$1M,1990
,CD Single,CD Single,Units,1991,1991,,$5.7M,1,5.7,$6M,1991
,CD Single,CD Single,Units,1992,1992,,$7.3M,1,7.3,$7M,1992
,CD Single,CD Single,Units,1993,1993,,$7.8M,1,7.8,$8M,1993
,CD Single,CD Single,Units,1994,1994,,$9.3M,1,9.3,$9M,1994
,CD Single,CD Single,Units,1995,1995,,$21.5M,1,21.5,$22M,1995
,CD Single,CD Single,Units,1996,1996,,$43.2M,1,43.2,$43M,1996
,CD Single,CD Single,Units,1997,1997,,$66.7M,1,66.7,$67M,1997
,CD Single,CD Single,Units,1998,1998,,$56.0M,1,56,$56M,1998
,CD Single,CD Single,Units,1999,1999,,$55.9M,1,55.9,$56M,1999
,CD Single,CD Single,Units,2000,2000,,$34.2M,1,34.2,$34M,2000
,CD Single,CD Single,Units,2001,2001,,$17.3M,1,17.3,$17M,2001
,CD Single,CD Single,Units,2002,2002,,$4.5M,1,4.5,$5M,2002
,CD Single,CD Single,Units,2003,2003,,$8.3M,1,8.3,$8M,2003
,CD Single,CD Single,Units,2004,2004,,$3.1M,1,3.1,$3M,2004
