Adjusted for Inflation Flag,Adjusted for Inflation Notes,Adjusted for Inflation Title,Format,Metric,Year,Year Date,Format Value # (Billion),Format Value # (Million),Number of Records,Value (Actual),Value (For Charting),Year (copy)
,,,CD,Units,1973,1973,,,1,,,1973
,,,CD,Units,1974,1974,,,1,,,1974
,,,CD,Units,1975,1975,,,1,,,1975
,,,CD,Units,1976,1976,,,1,,,1976
,,,CD,Units,1977,1977,,,1,,,1977
,,,CD,Units,1978,1978,,,1,,,1978
,,,CD,Units,1979,1979,,,1,,,1979
,,,CD,Units,1980,1980,,,1,,,1980
,,,CD,Units,1981,1981,,,1,,,1981
,,,CD,Units,1982,1982,,,1,,,1982
,,,CD,Units,1983,1983,,$0.8M,1,0.8,0.8,1983
,,,CD,Units,1984,1984,,$5.8M,1,5.8,5.8,1984
,,,CD,Units,1985,1985,,$22.6M,1,22.6,22.6,1985
,,,CD,Units,1986,1986,,$53.0M,1,53,53,1986
,,,CD,Units,1987,1987,,$102.1M,1,102.1,102.1,1987
,,,CD,Units,1988,1988,,$149.7M,1,149.7,149.7,1988
,,,CD,Units,1989,1989,,$207.2M,1,207.2,207.2,1989
,,,CD,Units,1990,1990,,$286.5M,1,286.5,286.5,1990
,,,CD,Units,1991,1991,,$333.3M,1,333.3,333.3,1991
,,,CD,Units,1992,1992,,$407.5M,1,407.5,407.5,1992
,,,CD,Units,1993,1993,,$495.4M,1,495.4,495.4,1993
,,,CD,Units,1994,1994,,$662.1M,1,662.1,662.1,1994
,,,CD,Units,1995,1995,,$722.9M,1,722.9,722.9,1995
,,,CD,Units,1996,1996,,$778.9M,1,778.9,778.9,1996
,,,CD,Units,1997,1997,,$753.1M,1,753.1,753.1,1997
,,,CD,Units,1998,1998,,$847.0M,1,847,847,1998
,,,CD,Units,1999,1999,,$938.9M,1,938.9,938.9,1999
,,,CD,Units,2000,2000,,$942.5M,1,942.5,942.5,2000
,,,CD,Units,2001,2001,,$881.9M,1,881.9,881.9,2001
,,,CD,Units,2002,2002,,$803.3M,1,803.3,803.3,2002
,,,CD,Units,2003,2003,,$746.0M,1,746,746,2003
,,,CD,Units,2004,2004,,$767.0M,1,767,767,2004
,,,CD,Units,2005,2005,,$705.4M,1,705.4,705.4,2005
,,,CD,Units,2006,2006,,$619.7M,1,619.7,619.7,2006
,,,CD,Units,2007,2007,,$499.7M,1,499.7,499.7,2007
,,,CD,Units,2008,2008,,$368.4M,1,368.4,368.4,2008
,,,CD,Units,2009,2009,,$296.6M,1,296.6,296.6,2009
,,,CD,Units,2010,2010,,$253.0M,1,253,253,2010
,,,CD,Units,2011,2011,,$240.8M,1,240.8,240.8,2011
,,,CD,Units,2012,2012,,$198.2M,1,198.164387234,198.164387234,2012
,,,CD,Units,2013,2013,,$173.8M,1,173.793302906,173.793302906,2013
,,,CD,Units,2014,2014,,$138.7M,1,138.702363357,138.702363357,2014
,,,CD,Units,2015,2015,,$117.1M,1,117.144051764,117.144051764,2015
,,,CD,Units,2016,2016,,$97.6M,1,97.577071197,97.577071197,2016
,,,CD,Units,2017,2017,,$87.7M,1,87.682499971,87.682499971,2017
,,,CD,Units,2018,2018,,$52.0M,1,51.954275644,51.954275644,2018
,,,CD,Units,2019,2019,,$46.5M,1,46.506495584,46.506495584,2019
,,,CD Single,Units,1973,1973,,,1,,,1973
,,,CD Single,Units,1974,1974,,,1,,,1974
,,,CD Single,Units,1975,1975,,,1,,,1975
,,,CD Single,Units,1976,1976,,,1,,,1976
,,,CD Single,Units,1977,1977,,,1,,,1977
,,,CD Single,Units,1978,1978,,,1,,,1978
,,,CD Single,Units,1979,1979,,,1,,,1979
,,,CD Single,Units,1980,1980,,,1,,,1980
,,,CD Single,Units,1981,1981,,,1,,,1981
,,,CD Single,Units,1982,1982,,,1,,,1982
,,,CD Single,Units,1983,1983,,,1,,,1983
,,,CD Single,Units,1984,1984,,,1,,,1984
,,,CD Single,Units,1985,1985,,,1,,,1985
,,,CD Single,Units,1986,1986,,,1,,,1986
,,,CD Single,Units,1987,1987,,,1,,,1987
,,,CD Single,Units,1988,1988,,$1.6M,1,1.6,1.6,1988
,,,CD Single,Units,1989,1989,,-$0.1M,1,-0.1,,1989
,,,CD Single,Units,1990,1990,,$1.1M,1,1.1,1.1,1990
,,,CD Single,Units,1991,1991,,$5.7M,1,5.7,5.7,1991
,,,CD Single,Units,1992,1992,,$7.3M,1,7.3,7.3,1992
,,,CD Single,Units,1993,1993,,$7.8M,1,7.8,7.8,1993
,,,CD Single,Units,1994,1994,,$9.3M,1,9.3,9.3,1994
,,,CD Single,Units,1995,1995,,$21.5M,1,21.5,21.5,1995
,,,CD Single,Units,1996,1996,,$43.2M,1,43.2,43.2,1996
,,,CD Single,Units,1997,1997,,$66.7M,1,66.7,66.7,1997
,,,CD Single,Units,1998,1998,,$56.0M,1,56,56,1998
,,,CD Single,Units,1999,1999,,$55.9M,1,55.9,55.9,1999
,,,CD Single,Units,2000,2000,,$34.2M,1,34.2,34.2,2000
,,,CD Single,Units,2001,2001,,$17.3M,1,17.3,17.3,2001
,,,CD Single,Units,2002,2002,,$4.5M,1,4.5,4.5,2002
,,,CD Single,Units,2003,2003,,$8.3M,1,8.3,8.3,2003
,,,CD Single,Units,2004,2004,,$3.1M,1,3.1,3.1,2004
,,,CD Single,Units,2005,2005,,$2.8M,1,2.8,2.8,2005
,,,CD Single,Units,2006,2006,,$1.7M,1,1.7,1.7,2006
,,,CD Single,Units,2007,2007,,$2.6M,1,2.6,2.6,2007
,,,CD Single,Units,2008,2008,,$0.7M,1,0.7,0.7,2008
,,,CD Single,Units,2009,2009,,$0.9M,1,0.9,0.9,2009
,,,CD Single,Units,2010,2010,,$1.0M,1,1,1,2010
,,,CD Single,Units,2011,2011,,$1.3M,1,1.3,1.3,2011
,,,CD Single,Units,2012,2012,,$1.1M,1,1.072870407,1.072870407,2012
,,,CD Single,Units,2013,2013,,$0.6M,1,0.628895398,0.628895398,2013
,,,CD Single,Units,2014,2014,,$0.9M,1,0.928725116,0.928725116,2014
