Format,Metric,Year,Revenue_Value,Total_Revenue_Year_Billions
CD,Value,2000,13214.5,14.3
CD,Value,2001,12909.4,13.7
CD,Value,2002,12044.1,12.6
CD,Value,2003,11232.9,11.9
CD,Value,2004,11446.5,12.3
CD,Value,2005,10520.2,12.3
CD,Value,2006,9372.6,11.8
CD,Value,2007,7452.3,10.7
CD,Value,2008,5471.3,8.8
CD,Value,2009,4318.8,7.8
CD,Value,2010,3389.4,7.0
CD,Value,2011,3100.7,7.1
CD,Value,2012,2485.614699086,7.0
CD,Value,2013,2140.917718167,7.0
CD,Value,2014,1776.249323795,6.7
CD,Value,2015,1444.9931935289999,6.7
CD,Value,2016,1130.764650638,7.6
CD,Value,2017,1057.323090205,8.8
CD,Value,2018,698.386637244,9.8
CD,Value,2019,614.509779894,11.1
CD Single,Value,2000,142.7,14.3
CD Single,Value,2001,79.4,13.7
CD Single,Value,2002,19.6,12.6
CD Single,Value,2003,36.0,11.9
CD Single,Value,2004,15.0,12.3
CD Single,Value,2005,10.9,12.3
CD Single,Value,2006,7.7,11.8
CD Single,Value,2007,12.2,10.7
CD Single,Value,2008,3.5,8.8
CD Single,Value,2009,3.1,7.8
CD Single,Value,2010,2.9,7.0
CD Single,Value,2011,3.5,7.1
CD Single,Value,2012,3.225092945,7.0
CD Single,Value,2013,2.445737226,7.0
CD Single,Value,2014,3.616015547,6.7
CD Single,Value,2015,1.19694661,6.7
CD Single,Value,2016,0.263199082,7.6
CD Single,Value,2017,1.478694184,8.8
CD Single,Value,2018,0.15516984,9.8
CD Single,Value,2019,0.18167887800000002,11.1
Cassette,Value,2000,626.0,14.3
Cassette,Value,2001,363.4,13.7
Cassette,Value,2002,209.8,12.6
Cassette,Value,2003,108.1,11.9
Cassette,Value,2004,23.7,12.3
Cassette,Value,2005,13.1,12.3
Cassette,Value,2006,3.7,11.8
Cassette,Value,2007,3.0,10.7
Cassette,Value,2008,0.9,8.8
Cassette,Value,2009,0.0,7.8
Cassette Single,Value,2000,4.6,14.3
DVD Audio,Value,2001,6.0,13.7
DVD Audio,Value,2002,8.5,12.6
DVD Audio,Value,2003,8.0,11.9
DVD Audio,Value,2004,6.5,12.3
DVD Audio,Value,2005,11.2,12.3
DVD Audio,Value,2006,2.4,11.8
DVD Audio,Value,2007,2.8,10.7
DVD Audio,Value,2008,1.2,8.8
DVD Audio,Value,2009,1.6,7.8
DVD Audio,Value,2010,0.9,7.0
DVD Audio,Value,2011,0.3,7.1
DVD Audio,Value,2012,0.183106992,7.0
DVD Audio,Value,2014,2.139460944,6.7
DVD Audio,Value,2015,5.416232673,6.7
DVD Audio,Value,2016,2.83553587,7.6
DVD Audio,Value,2017,2.606840648,8.8
DVD Audio,Value,2018,3.317383752,9.8
DVD Audio,Value,2019,1.067303184,11.1
Download Album,Value,2004,45.5,12.3
Download Album,Value,2005,135.7,12.3
Download Album,Value,2006,275.9,11.8
Download Album,Value,2007,497.4,10.7
Download Album,Value,2008,635.3,8.8
Download Album,Value,2009,744.3,7.8
Download Album,Value,2010,872.4,7.0
Download Album,Value,2011,1070.8,7.1
Download Album,Value,2012,1204.822242537,7.0
Download Album,Value,2013,1232.1397156169999,7.0
Download Album,Value,2014,1117.900008828,6.7
Download Album,Value,2015,1064.4336066639999,6.7
Download Album,Value,2016,868.59426835,7.6
Download Album,Value,2017,668.500705901,8.8
Download Album,Value,2018,499.65083242,9.8
Download Album,Value,2019,394.53300615800003,11.1
Download Music Video,Value,2005,3.7,12.3
Download Music Video,Value,2006,19.7,11.8
Download Music Video,Value,2007,28.2,10.7
Download Music Video,Value,2008,41.3,8.8
Download Music Video,Value,2009,40.9,7.8
Download Music Video,Value,2010,36.6,7.0
Download Music Video,Value,2011,32.4,7.1
Download Music Video,Value,2012,20.842242000000002,7.0
Download Music Video,Value,2013,16.740803,7.0
Download Music Video,Value,2014,13.577058,6.7
Download Music Video,Value,2015,6.4144190000000005,6.7
Download Music Video,Value,2016,4.26940012,7.6
Download Music Video,Value,2017,2.785780489,8.8
Download Music Video,Value,2018,2.2208106,9.8
Download Music Video,Value,2019,1.8589104019999998,11.1
Download Single,Value,2004,138.0,12.3
Download Single,Value,2005,363.3,12.3
Download Single,Value,2006,580.6,11.8
Download Single,Value,2007,811.0,10.7
Download Single,Value,2008,1032.2,8.8
Download Single,Value,2009,1172.0,7.8
Download Single,Value,2010,1336.4,7.0
Download Single,Value,2011,1522.4,7.1
