Format,Metric,Units_Sold,Year,Percent_Of_Total_Volume,Total_Value_Num_Million,Total_Value_Num_Billion,Total_Value_For_Year
CD,Units,942.5,2000,87.3,,1.1B,$1079.2B
CD,Units,881.9,2001,91.1,$968.5M,,$968.5B
CD,Units,803.3,2002,93.4,$859.7M,,$859.7B
CD,Units,746.0,2003,93.4,$798.4M,,$798.4B
CD,Units,767.0,2004,80.1,$958.1M,,$958.1B
CD,Units,705.4,2005,54.2,,1.3B,$1301.9B
CD,Units,619.7,2006,39.0,,1.6B,$1588.4B
CD,Units,499.7,2007,27.0,,1.9B,$1851.5B
CD,Units,368.4,2008,19.2,,1.9B,$1919.6B
CD,Units,296.6,2009,16.2,,1.8B,$1828.5B
CD,Units,253.0,2010,14.5,,1.7B,$1739.5B
CD,Units,240.8,2011,13.2,,1.8B,$1825.0B
CD,Units,198.164387234,2012,11.0,,1.8B,$1803.3B
CD,Units,173.79330290599998,2013,10.3,,1.7B,$1691.2B
CD,Units,138.702363357,2014,9.5,,1.5B,$1458.2B
CD,Units,117.144051764,2015,9.3,,1.3B,$1255.5B
CD,Units,97.57707119700001,2016,10.1,$970.1M,,$970.1B
CD,Units,87.682499971,2017,11.8,$742.6M,,$742.6B
CD,Units,51.954275644,2018,9.8,$532.3M,,$532.3B
CD,Units,46.506495584,2019,10.3,$453.3M,,$453.3B
CD Single,Units,34.2,2000,3.2,,1.1B,$1079.2B
CD Single,Units,17.3,2001,1.8,$968.5M,,$968.5B
CD Single,Units,4.5,2002,0.5,$859.7M,,$859.7B
CD Single,Units,8.3,2003,1.0,$798.4M,,$798.4B
CD Single,Units,3.1,2004,0.3,$958.1M,,$958.1B
CD Single,Units,2.8,2005,0.2,,1.3B,$1301.9B
CD Single,Units,1.7,2006,0.1,,1.6B,$1588.4B
CD Single,Units,2.6,2007,0.1,,1.9B,$1851.5B
CD Single,Units,0.7,2008,0.0,,1.9B,$1919.6B
CD Single,Units,0.9,2009,0.0,,1.8B,$1828.5B
CD Single,Units,1.0,2010,0.1,,1.7B,$1739.5B
CD Single,Units,1.3,2011,0.1,,1.8B,$1825.0B
CD Single,Units,1.0728704070000001,2012,0.1,,1.8B,$1803.3B
CD Single,Units,0.6288953979999999,2013,0.0,,1.7B,$1691.2B
CD Single,Units,0.928725116,2014,0.1,,1.5B,$1458.2B
CD Single,Units,0.386721563,2015,0.0,,1.3B,$1255.5B
CD Single,Units,0.121745255,2016,0.0,$970.1M,,$970.1B
CD Single,Units,0.13261663,2017,0.0,$742.6M,,$742.6B
CD Single,Units,0.020854078,2018,0.0,$532.3M,,$532.3B
CD Single,Units,0.026257455,2019,0.0,$453.3M,,$453.3B
Cassette,Units,76.0,2000,7.0,,1.1B,$1079.2B
Cassette,Units,45.0,2001,4.6,$968.5M,,$968.5B
Cassette,Units,31.1,2002,3.6,$859.7M,,$859.7B
Cassette,Units,17.2,2003,2.2,$798.4M,,$798.4B
Cassette,Units,5.2,2004,0.5,$958.1M,,$958.1B
Cassette,Units,2.5,2005,0.2,,1.3B,$1301.9B
Cassette,Units,0.7,2006,0.0,,1.6B,$1588.4B
Cassette,Units,0.4,2007,0.0,,1.9B,$1851.5B
Cassette,Units,0.1,2008,0.0,,1.9B,$1919.6B
Cassette,Units,0.0,2009,0.0,,1.8B,$1828.5B
Cassette,Units,0.0,2010,0.0,,1.7B,$1739.5B
Cassette,Units,0.0,2011,0.0,,1.8B,$1825.0B
Cassette Single,Units,1.3,2000,0.1,,1.1B,$1079.2B
Cassette Single,Units,-1.5,2001,-0.2,$968.5M,,$968.5B
Cassette Single,Units,-0.5,2002,-0.1,$859.7M,,$859.7B
Cassette Single,Units,0.0,2003,0.0,$798.4M,,$798.4B
Cassette Single,Units,0.0,2004,0.0,$958.1M,,$958.1B
Cassette Single,Units,0.0,2005,0.0,,1.3B,$1301.9B
Cassette Single,Units,0.0,2006,0.0,,1.6B,$1588.4B
Cassette Single,Units,0.0,2007,0.0,,1.9B,$1851.5B
Cassette Single,Units,0.0,2008,0.0,,1.9B,$1919.6B
Cassette Single,Units,0.0,2009,0.0,,1.8B,$1828.5B
Cassette Single,Units,0.0,2010,0.0,,1.7B,$1739.5B
Cassette Single,Units,0.0,2011,0.0,,1.8B,$1825.0B
LP/EP,Units,2.2,2000,0.2,,1.1B,$1079.2B
LP/EP,Units,2.3,2001,0.2,$968.5M,,$968.5B
LP/EP,Units,1.743,2002,0.2,$859.7M,,$859.7B
LP/EP,Units,1.5,2003,0.2,$798.4M,,$798.4B
LP/EP,Units,1.4,2004,0.1,$958.1M,,$958.1B
LP/EP,Units,1.0,2005,0.1,,1.3B,$1301.9B
LP/EP,Units,0.9,2006,0.1,,1.6B,$1588.4B
LP/EP,Units,1.3,2007,0.1,,1.9B,$1851.5B
LP/EP,Units,2.9,2008,0.2,,1.9B,$1919.6B
LP/EP,Units,3.5,2009,0.2,,1.8B,$1828.5B
LP/EP,Units,4.2,2010,0.2,,1.7B,$1739.5B
LP/EP,Units,5.5,2011,0.3,,1.8B,$1825.0B
LP/EP,Units,6.915365189,2012,0.4,,1.8B,$1803.3B
LP/EP,Units,9.35128587,2013,0.6,,1.7B,$1691.2B
LP/EP,Units,10.315563906,2014,0.7,,1.5B,$1458.2B
LP/EP,Units,13.68102972,2015,1.1,,1.3B,$1255.5B
LP/EP,Units,14.770886026,2016,1.5,$970.1M,,$970.1B
LP/EP,Units,15.556089168,2017,2.1,$742.6M,,$742.6B
LP/EP,Units,16.670127326,2018,3.1,$532.3M,,$532.3B
LP/EP,Units,19.103162826,2019,4.2,$453.3M,,$453.3B
Vinyl Single,Units,4.8,2000,0.4,,1.1B,$1079.2B
Vinyl Single,Units,5.5,2001,0.6,$968.5M,,$968.5B
Vinyl Single,Units,4.4,2002,0.5,$859.7M,,$859.7B
Vinyl Single,Units,3.8,2003,0.5,$798.4M,,$798.4B
Vinyl Single,Units,3.5,2004,0.4,$958.1M,,$958.1B
Vinyl Single,Units,2.3,2005,0.2,,1.3B,$1301.9B
Vinyl Single,Units,1.5,2006,0.1,,1.6B,$1588.4B
Vinyl Single,Units,0.6,2007,0.0,,1.9B,$1851.5B
Vinyl Single,Units,0.4,2008,0.0,,1.9B,$1919.6B
Vinyl Single,Units,0.3,2009,0.0,,1.8B,$1828.5B
Vinyl Single,Units,0.3,2010,0.0,,1.7B,$1739.5B
Vinyl Single,Units,0.4,2011,0.0,,1.8B,$1825.0B
Vinyl Single,Units,0.38857368700000006,2012,0.0,,1.8B,$1803.3B
Vinyl Single,Units,0.315817054,2013,0.0,,1.7B,$1691.2B
Vinyl Single,Units,0.481198278,2014,0.0,,1.5B,$1458.2B
Vinyl Single,Units,0.50786991,2015,0.0,,1.3B,$1255.5B
Vinyl Single,Units,0.40433065100000004,2016,0.0,$970.1M,,$970.1B
Vinyl Single,Units,0.402959365,2017,0.1,$742.6M,,$742.6B
Vinyl Single,Units,0.34616500200000005,2018,0.1,$532.3M,,$532.3B
Vinyl Single,Units,0.336120488,2019,0.1,$453.3M,,$453.3B
8 - Track,Units,0.0,2000,0.0,,1.1B,$1079.2B
8 - Track,Units,0.0,2001,0.0,$968.5M,,$968.5B
8 - Track,Units,0.0,2002,0.0,$859.7M,,$859.7B
8 - Track,Units,0.0,2003,0.0,$798.4M,,$798.4B
8 - Track,Units,0.0,2004,0.0,$958.1M,,$958.1B
8 - Track,Units,0.0,2005,0.0,,1.3B,$1301.9B
8 - Track,Units,0.0,2006,0.0,,1.6B,$1588.4B
8 - Track,Units,0.0,2007,0.0,,1.9B,$1851.5B
8 - Track,Units,0.0,2008,0.0,,1.9B,$1919.6B
8 - Track,Units,0.0,2009,0.0,,1.8B,$1828.5B
8 - Track,Units,0.0,2010,0.0,,1.7B,$1739.5B
8 - Track,Units,0.0,2011,0.0,,1.8B,$1825.0B
Other Tapes,Units,0.0,2000,0.0,,1.1B,$1079.2B
Other Tapes,Units,0.0,2001,0.0,$968.5M,,$968.5B
Other Tapes,Units,0.0,2002,0.0,$859.7M,,$859.7B
Other Tapes,Units,0.0,2003,0.0,$798.4M,,$798.4B
Other Tapes,Units,0.0,2004,0.0,$958.1M,,$958.1B
Other Tapes,Units,0.0,2005,0.0,,1.3B,$1301.9B
Other Tapes,Units,0.0,2006,0.0,,1.6B,$1588.4B
Other Tapes,Units,0.0,2007,0.0,,1.9B,$1851.5B
Other Tapes,Units,0.0,2008,0.0,,1.9B,$1919.6B
Other Tapes,Units,0.0,2009,0.0,,1.8B,$1828.5B
Other Tapes,Units,0.0,2010,0.0,,1.7B,$1739.5B
Other Tapes,Units,0.0,2011,0.0,,1.8B,$1825.0B
Music Video (Physical),Units,18.2,2000,1.7,,1.1B,$1079.2B
Music Video (Physical),Units,17.7,2001,1.8,$968.5M,,$968.5B
Music Video (Physical),Units,14.7,2002,1.7,$859.7M,,$859.7B
Music Video (Physical),Units,19.9,2003,2.5,$798.4M,,$798.4B
Music Video (Physical),Units,32.8,2004,3.4,$958.1M,,$958.1B
Music Video (Physical),Units,33.8,2005,2.6,,1.3B,$1301.9B
Music Video (Physical),Units,23.2,2006,1.5,,1.6B,$1588.4B
Music Video (Physical),Units,27.5,2007,1.5,,1.9B,$1851.5B
Music Video (Physical),Units,13.2,2008,0.7,,1.9B,$1919.6B
Music Video (Physical),Units,11.6,2009,0.6,,1.8B,$1828.5B
Music Video (Physical),Units,9.1,2010,0.5,,1.7B,$1739.5B
Music Video (Physical),Units,7.7,2011,0.4,,1.8B,$1825.0B
Music Video (Physical),Units,6.032725467000001,2012,0.3,,1.8B,$1803.3B
Music Video (Physical),Units,4.8146265239999995,2013,0.3,,1.7B,$1691.2B
Music Video (Physical),Units,4.065323601,2014,0.3,,1.5B,$1458.2B
Music Video (Physical),Units,3.1332280060000004,2015,0.2,,1.3B,$1255.5B
Music Video (Physical),Units,2.495531725,2016,0.3,$970.1M,,$970.1B
Music Video (Physical),Units,1.87712837,2017,0.3,$742.6M,,$742.6B
