Format,Metric,Year,Format_Value_Num_Billions,Format_Value_Num_Millions,Actual_Value
CD,Units,1973,,,
CD,Units,1974,,,
CD,Units,1975,,,
CD,Units,1976,,,
CD,Units,1977,,,
CD,Units,1978,,,
CD,Units,1979,,,
CD,Units,1980,,,
CD,Units,1981,,,
CD,Units,1982,,,
CD,Units,1983,,0.8,0.8
CD,Units,1984,,5.8,5.8
CD,Units,1985,,22.6,22.6
CD,Units,1986,,53.0,53.0
CD,Units,1987,,102.1,102.1
CD,Units,1988,,149.7,149.7
CD,Units,1989,,207.2,207.2
CD,Units,1990,,286.5,286.5
CD,Units,1991,,333.3,333.3
CD,Units,1992,,407.5,407.5
CD,Units,1993,,495.4,495.4
CD,Units,1994,,662.1,662.1
CD,Units,1995,,722.9,722.9
CD,Units,1996,,778.9,778.9
CD,Units,1997,,753.1,753.1
CD,Units,1998,,847.0,847.0
CD,Units,1999,,938.9,938.9
CD,Units,2000,,942.5,942.5
CD,Units,2001,,881.9,881.9
CD,Units,2002,,803.3,803.3
CD,Units,2003,,746.0,746.0
CD,Units,2004,,767.0,767.0
CD,Units,2005,,705.4,705.4
CD,Units,2006,,619.7,619.7
CD,Units,2007,,499.7,499.7
CD,Units,2008,,368.4,368.4
CD,Units,2009,,296.6,296.6
CD,Units,2010,,253.0,253.0
CD,Units,2011,,240.8,240.8
CD,Units,2012,,198.2,198.164387234
CD,Units,2013,,173.8,173.79330290599998
CD,Units,2014,,138.7,138.702363357
CD,Units,2015,,117.1,117.144051764
CD,Units,2016,,97.6,97.57707119700001
CD,Units,2017,,87.7,87.682499971
CD,Units,2018,,52.0,51.954275644
CD,Units,2019,,46.5,46.506495584
CD Single,Units,1973,,,
CD Single,Units,1974,,,
CD Single,Units,1975,,,
CD Single,Units,1976,,,
CD Single,Units,1977,,,
CD Single,Units,1978,,,
CD Single,Units,1979,,,
CD Single,Units,1980,,,
CD Single,Units,1981,,,
CD Single,Units,1982,,,
CD Single,Units,1983,,,
CD Single,Units,1984,,,
CD Single,Units,1985,,,
CD Single,Units,1986,,,
CD Single,Units,1987,,,
CD Single,Units,1988,,1.6,1.6
CD Single,Units,1989,,-0.1,-0.1
CD Single,Units,1990,,1.1,1.1
CD Single,Units,1991,,5.7,5.7
CD Single,Units,1992,,7.3,7.3
CD Single,Units,1993,,7.8,7.8
CD Single,Units,1994,,9.3,9.3
CD Single,Units,1995,,21.5,21.5
CD Single,Units,1996,,43.2,43.2
CD Single,Units,1997,,66.7,66.7
CD Single,Units,1998,,56.0,56.0
CD Single,Units,1999,,55.9,55.9
CD Single,Units,2000,,34.2,34.2
CD Single,Units,2001,,17.3,17.3
CD Single,Units,2002,,4.5,4.5
CD Single,Units,2003,,8.3,8.3
CD Single,Units,2004,,3.1,3.1
CD Single,Units,2005,,2.8,2.8
CD Single,Units,2006,,1.7,1.7
CD Single,Units,2007,,2.6,2.6
CD Single,Units,2008,,0.7,0.7
CD Single,Units,2009,,0.9,0.9
CD Single,Units,2010,,1.0,1.0
CD Single,Units,2011,,1.3,1.3
CD Single,Units,2012,,1.1,1.0728704070000001
