Format,Metric,Year,Actual_Value,Mode
CD,Units,1983,0.8,Digital
CD,Units,1984,5.8,Digital
CD,Units,1985,22.6,Digital
CD,Units,1986,53.0,Digital
CD,Units,1987,102.1,Digital
CD,Units,1988,149.7,Digital
CD,Units,1989,207.2,Digital
CD,Units,1990,286.5,Digital
CD,Units,1991,333.3,Digital
CD,Units,1992,407.5,Digital
CD,Units,1993,495.4,Digital
CD,Units,1994,662.1,Digital
CD,Units,1995,722.9,Digital
CD,Units,1996,778.9,Digital
CD,Units,1997,753.1,Digital
CD,Units,1998,847.0,Digital
CD,Units,1999,938.9,Digital
CD,Units,2000,942.5,Digital
CD,Units,2001,881.9,Digital
CD,Units,2002,803.3,Digital
CD,Units,2003,746.0,Digital
CD,Units,2004,767.0,Digital
CD,Units,2005,705.4,Digital
CD,Units,2006,619.7,Digital
CD,Units,2007,499.7,Digital
CD,Units,2008,368.4,Digital
CD,Units,2009,296.6,Digital
CD,Units,2010,253.0,Digital
CD,Units,2011,240.8,Digital
CD,Units,2012,198.164387234,Digital
CD,Units,2013,173.79330290599998,Digital
CD,Units,2014,138.702363357,Digital
CD,Units,2015,117.144051764,Digital
CD,Units,2016,97.57707119700001,Digital
CD,Units,2017,87.682499971,Digital
CD,Units,2018,51.954275644,Digital
CD,Units,2019,46.506495584,Digital
CD Single,Units,1988,1.6,Digital
CD Single,Units,1989,-0.1,Digital
CD Single,Units,1990,1.1,Digital
CD Single,Units,1991,5.7,Digital
CD Single,Units,1992,7.3,Digital
CD Single,Units,1993,7.8,Digital
CD Single,Units,1994,9.3,Digital
CD Single,Units,1995,21.5,Digital
CD Single,Units,1996,43.2,Digital
CD Single,Units,1997,66.7,Digital
CD Single,Units,1998,56.0,Digital
CD Single,Units,1999,55.9,Digital
CD Single,Units,2000,34.2,Digital
CD Single,Units,2001,17.3,Digital
CD Single,Units,2002,4.5,Digital
CD Single,Units,2003,8.3,Digital
CD Single,Units,2004,3.1,Digital
CD Single,Units,2005,2.8,Digital
CD Single,Units,2006,1.7,Digital
CD Single,Units,2007,2.6,Digital
CD Single,Units,2008,0.7,Digital
CD Single,Units,2009,0.9,Digital
CD Single,Units,2010,1.0,Digital
CD Single,Units,2011,1.3,Digital
CD Single,Units,2012,1.072870407,Digital
CD Single,Units,2013,0.6288953979999999,Digital
